symbol	reference_value	candidate_value	status
CONFIG_QCOM_DMABUF_HEAPS_CARVEOUT	y	n	missing
CONFIG_QCOM_DMABUF_HEAPS_CMA	y	n	missing
CONFIG_QCOM_DMABUF_HEAPS_PAGE_POOL_REFILL	y	n	missing
CONFIG_QCOM_DMABUF_HEAPS_SYSTEM	y	n	missing
CONFIG_QCOM_DMABUF_HEAPS_SYSTEM_SECURE	y	n	missing
CONFIG_QCOM_ESOC	m	n	missing
CONFIG_QCOM_ESOC_CLIENT	m	n	missing
CONFIG_QCOM_ESOC_DEBUG	m	n	missing
CONFIG_QCOM_ESOC_DEV	m	n	missing
CONFIG_QCOM_ESOC_MDM_4X	m	n	missing
CONFIG_QCOM_ESOC_MDM_DRV	m	n	missing
CONFIG_QCOM_EUD	m	n	missing
CONFIG_QCOM_FORCE_WDOG_BITE_ON_PANIC	y	n	missing
CONFIG_QCOM_FSA4480_I2C	m	n	missing
CONFIG_QCOM_GDSC_REGULATOR	m	n	missing
CONFIG_QCOM_GIC_INTERRUPT_ROUTING	m	n	missing
CONFIG_QCOM_GLINK	m	n	missing
CONFIG_QCOM_GLINK_PKT	m	n	missing
CONFIG_QCOM_GUESTVM	m	n	missing
CONFIG_QCOM_HUNG_TASK_ENH	m	n	missing
CONFIG_QCOM_HYP_CORE_CTL	m	n	missing
CONFIG_QCOM_IOMMU_DEBUG	m	n	missing
CONFIG_QCOM_IOMMU_UTIL	m	n	missing
CONFIG_QCOM_IRQ_STAT	y	n	missing
CONFIG_QCOM_KGSL	m	n	missing
CONFIG_QCOM_KGSL_CONTEXT_DEBUG	y	n	missing
CONFIG_QCOM_KGSL_IOCOHERENCY_DEFAULT	y	n	missing
CONFIG_QCOM_LAZY_MAPPING	m	n	missing
CONFIG_QCOM_LLCC	m	n	missing
CONFIG_QCOM_LLCC_PERFMON	m	n	missing
CONFIG_QCOM_LLCC_PMU	m	n	missing
CONFIG_QCOM_LOGBUF_VENDOR_HOOKS	m	n	missing
CONFIG_QCOM_MEMLAT	m	n	missing
CONFIG_QCOM_MEMORY_DUMP_V2	m	n	missing
CONFIG_QCOM_MEM_BUF	m	n	missing
CONFIG_QCOM_MEM_HOOKS	m	n	missing
CONFIG_QCOM_MICRODUMP	m	n	missing
CONFIG_QCOM_MINIDUMP	m	n	missing
CONFIG_QCOM_MINIDUMP_FTRACE	y	n	missing
CONFIG_QCOM_MINIDUMP_PANIC_DUMP	y	n	missing
CONFIG_QCOM_MINIDUMP_PSTORE	y	n	missing
CONFIG_QCOM_MSM_IPCC	m	n	missing
CONFIG_QCOM_PANEL_EVENT_NOTIFIER	m	n	missing
CONFIG_QCOM_PANIC_ON_NOTIF_TIMEOUT	y	n	missing
CONFIG_QCOM_PANIC_ON_PDR_NOTIF_TIMEOUT	y	n	missing
CONFIG_QCOM_PCI_EDMA	m	n	missing
CONFIG_QCOM_PDC	m	n	missing
CONFIG_QCOM_PDR_HELPERS	m	n	missing
CONFIG_QCOM_PIL_INFO	m	n	missing
CONFIG_QCOM_PMU_LIB	m	n	missing
CONFIG_QCOM_Q6V5_PAS	m	n	missing
CONFIG_QCOM_QDSS_BRIDGE	m	n	missing
CONFIG_QCOM_QFPROM	m	n	missing
CONFIG_QCOM_QFPROM_SYS	m	n	missing
CONFIG_QCOM_RAMDUMP	m	n	missing
CONFIG_QCOM_RIMPS	m	n	missing
CONFIG_QCOM_RPMH	m	y	enabled
CONFIG_QCOM_RUN_QUEUE_STATS	m	n	missing
CONFIG_QCOM_SCM	m	y	enabled
CONFIG_QCOM_SECURE_BUFFER	m	n	missing
CONFIG_QCOM_SHOW_RESUME_IRQ	m	n	missing
CONFIG_QCOM_SMCINVOKE	m	n	missing
CONFIG_QCOM_SMEM	m	n	missing
CONFIG_QCOM_SMP2P	m	n	missing
CONFIG_QCOM_SMP2P_SLEEPSTATE	m	n	missing
CONFIG_QCOM_SOCINFO	m	n	missing
CONFIG_QCOM_SOC_SLEEP_STATS	m	n	missing
CONFIG_QCOM_SOC_WATCHDOG	m	n	missing
CONFIG_QCOM_SPMI_ADC5	m	y	enabled
CONFIG_QCOM_SPMI_TEMP_ALARM	m	n	missing
CONFIG_QCOM_SPSS	m	n	missing
CONFIG_QCOM_SPSS_AC_RESTRICTION	y	n	missing
CONFIG_QCOM_SUBSYSTEM_SLEEP_STATS	m	n	missing
