category	source	location	message
unit_address_vs_reg	/home/ubuntu/work/Kernel-6.18-LTS-build/arch/arm64/boot/dts/qcom/ukee.dtsi	297.23-299.4	/soc/qfprom@0: node has a unit name, but no reg or ranges property
pci_device_reg	arch/arm64/boot/dts/qcom/ukee.dtb		Failed prerequisite 'reg_format'
pci_device_bus_num	arch/arm64/boot/dts/qcom/ukee.dtb		Failed prerequisite 'reg_format'
simple_bus_reg	arch/arm64/boot/dts/qcom/ukee.dtb		Failed prerequisite 'reg_format'
i2c_bus_reg	arch/arm64/boot/dts/qcom/ukee.dtb		Failed prerequisite 'reg_format'
spi_bus_reg	arch/arm64/boot/dts/qcom/ukee.dtb		Failed prerequisite 'reg_format'
avoid_default_addr_size	/home/ubuntu/work/Kernel-6.18-LTS-build/arch/arm64/boot/dts/qcom/cape.dtsi	1741.14-1758.5	/soc/remoteproc-spss@1880000/glink-edge: Relying on default #address-cells value
avoid_default_addr_size	/home/ubuntu/work/Kernel-6.18-LTS-build/arch/arm64/boot/dts/qcom/cape.dtsi	1741.14-1758.5	/soc/remoteproc-spss@1880000/glink-edge: Relying on default #size-cells value
avoid_unnecessary_addr_size	arch/arm64/boot/dts/qcom/ukee.dtb		Failed prerequisite 'avoid_default_addr_size'
unique_unit_address	arch/arm64/boot/dts/qcom/ukee.dtb		Failed prerequisite 'avoid_default_addr_size'
