module	loading_stages	disposition	reference_makefiles	target_makefiles	review_rule
cfg80211.ko	modules	ack_source_candidate	drivers/net/wireless/ath/ath6kl/Makefile;drivers/net/wireless/ath/wil6210/Makefile;drivers/net/wireless/broadcom/brcm80211/brcmfmac/Makefile;drivers/net/wireless/marvell/mwifiex/Makefile;drivers/net/wireless/microchip/wilc1000/Makefile;drivers/net/wireless/quantenna/qtnfmac/Makefile;net/wireless/Makefile	drivers/net/wireless/ath/ath6kl/Makefile;drivers/net/wireless/ath/wil6210/Makefile;drivers/net/wireless/broadcom/brcm80211/brcmfmac/Makefile;drivers/net/wireless/marvell/mwifiex/Makefile;drivers/net/wireless/microchip/wilc1000/Makefile;drivers/net/wireless/quantenna/qtnfmac/Makefile;net/wireless/Makefile;net/wireless/tests/Makefile	same module name is not ABI compatibility; rebuild and validate KMI before staging
chipreg.ko	modules	ack_source_candidate	drivers/mtd/chips/Makefile	drivers/mtd/chips/Makefile	same module name is not ABI compatibility; rebuild and validate KMI before staging
clk-dummy.ko	modules	reference_source_only	drivers/clk/qcom/Makefile	-	same module name is not ABI compatibility; rebuild and validate KMI before staging
clk-qcom.ko	modules	ack_source_candidate	drivers/clk/qcom/Makefile	drivers/clk/qcom/Makefile	same module name is not ABI compatibility; rebuild and validate KMI before staging
clk-rpmh.ko	modules	ack_source_candidate	drivers/clk/qcom/Makefile	drivers/clk/qcom/Makefile	same module name is not ABI compatibility; rebuild and validate KMI before staging
cmd-db.ko	modules	built_6_18_builtin	drivers/soc/qcom/Makefile	drivers/soc/qcom/Makefile	same module name is not ABI compatibility; rebuild and validate KMI before staging
cnss2.ko	modules	reference_source_only	drivers/net/wireless/Makefile;drivers/net/wireless/cnss2/Makefile	-	same module name is not ABI compatibility; rebuild and validate KMI before staging
cnss_nl.ko	modules	reference_source_only	drivers/net/wireless/cnss_genl/Makefile	-	same module name is not ABI compatibility; rebuild and validate KMI before staging
cnss_plat_ipc_qmi_svc.ko	modules	reference_source_only	drivers/net/wireless/cnss_utils/Makefile	-	same module name is not ABI compatibility; rebuild and validate KMI before staging
cnss_prealloc.ko	modules	reference_source_only	drivers/net/wireless/Makefile;drivers/net/wireless/cnss_prealloc/Makefile	-	same module name is not ABI compatibility; rebuild and validate KMI before staging
cnss_utils.ko	modules	reference_source_only	drivers/net/wireless/Makefile;drivers/net/wireless/cnss2/Makefile;drivers/net/wireless/cnss_utils/Makefile;drivers/soc/qcom/icnss2/Makefile	-	same module name is not ABI compatibility; rebuild and validate KMI before staging
core_hang_detect.ko	modules	reference_source_only	drivers/soc/qcom/Makefile	-	same module name is not ABI compatibility; rebuild and validate KMI before staging
coresight-csr.ko	modules	reference_source_only	drivers/hwtracing/coresight/Makefile	-	same module name is not ABI compatibility; rebuild and validate KMI before staging
coresight-cti.ko	modules	ack_source_candidate	drivers/hwtracing/coresight/Makefile	drivers/hwtracing/coresight/Makefile	same module name is not ABI compatibility; rebuild and validate KMI before staging
coresight-dummy.ko	modules	ack_source_candidate	drivers/hwtracing/coresight/Makefile	drivers/hwtracing/coresight/Makefile	same module name is not ABI compatibility; rebuild and validate KMI before staging
coresight-funnel.ko	modules	ack_source_candidate	drivers/hwtracing/coresight/Makefile	drivers/hwtracing/coresight/Makefile	same module name is not ABI compatibility; rebuild and validate KMI before staging
coresight-hwevent.ko	modules	reference_source_only	drivers/hwtracing/coresight/Makefile	-	same module name is not ABI compatibility; rebuild and validate KMI before staging
coresight-remote-etm.ko	modules	reference_source_only	drivers/hwtracing/coresight/Makefile	-	same module name is not ABI compatibility; rebuild and validate KMI before staging
coresight-replicator.ko	modules	ack_source_candidate	drivers/hwtracing/coresight/Makefile	drivers/hwtracing/coresight/Makefile	same module name is not ABI compatibility; rebuild and validate KMI before staging
coresight-stm.ko	modules	ack_source_candidate	drivers/hwtracing/coresight/Makefile	drivers/hwtracing/coresight/Makefile	same module name is not ABI compatibility; rebuild and validate KMI before staging
coresight-tgu.ko	modules	reference_source_only	drivers/hwtracing/coresight/Makefile	-	same module name is not ABI compatibility; rebuild and validate KMI before staging
