module	loading_stages	disposition	reference_makefiles	target_makefiles	review_rule
rmnet_ctl.ko	modules	unmapped	-	-	same module name is not ABI compatibility; rebuild and validate KMI before staging
rmnet_offload.ko	modules	unmapped	-	-	same module name is not ABI compatibility; rebuild and validate KMI before staging
rmnet_perf.ko	modules	unmapped	-	-	same module name is not ABI compatibility; rebuild and validate KMI before staging
rmnet_perf_tether.ko	modules	unmapped	-	-	same module name is not ABI compatibility; rebuild and validate KMI before staging
rmnet_sch.ko	modules	unmapped	-	-	same module name is not ABI compatibility; rebuild and validate KMI before staging
rmnet_shs.ko	modules	unmapped	-	-	same module name is not ABI compatibility; rebuild and validate KMI before staging
rmnet_wlan.ko	modules	unmapped	-	-	same module name is not ABI compatibility; rebuild and validate KMI before staging
rndisipam.ko	modules	unmapped	-	-	same module name is not ABI compatibility; rebuild and validate KMI before staging
rpmh-regulator.ko	modules	reference_source_only	drivers/regulator/Makefile	-	same module name is not ABI compatibility; rebuild and validate KMI before staging
rproc_qcom_common.ko	modules	reference_source_only	drivers/remoteproc/Makefile	-	same module name is not ABI compatibility; rebuild and validate KMI before staging
rq_stats.ko	modules	reference_source_only	drivers/soc/qcom/Makefile	-	same module name is not ABI compatibility; rebuild and validate KMI before staging
rtc-pm8xxx.ko	modules	ack_source_candidate	drivers/rtc/Makefile	drivers/rtc/Makefile	same module name is not ABI compatibility; rebuild and validate KMI before staging
sched-walt.ko	modules	reference_source_only	kernel/sched/walt/Makefile	-	same module name is not ABI compatibility; rebuild and validate KMI before staging
sdhci-msm.ko	modules	ack_source_candidate	drivers/mmc/host/Makefile	drivers/mmc/host/Makefile	same module name is not ABI compatibility; rebuild and validate KMI before staging
sdpm_clk.ko	modules	reference_source_only	drivers/thermal/qcom/Makefile	-	same module name is not ABI compatibility; rebuild and validate KMI before staging
secure_buffer.ko	modules	reference_source_only	drivers/soc/qcom/Makefile	-	same module name is not ABI compatibility; rebuild and validate KMI before staging
sensors_ssc.ko	modules	reference_source_only	drivers/soc/qcom/Makefile	-	same module name is not ABI compatibility; rebuild and validate KMI before staging
sg.ko	modules	ack_source_candidate	drivers/scsi/Makefile;lib/Makefile	drivers/scsi/Makefile;lib/Makefile	same module name is not ABI compatibility; rebuild and validate KMI before staging
shared_rail_scmi.ko	modules	reference_source_only	drivers/soc/qcom/Makefile	-	same module name is not ABI compatibility; rebuild and validate KMI before staging
shared_rail_vendor.ko	modules	reference_source_only	drivers/firmware/arm_scmi/Makefile	-	same module name is not ABI compatibility; rebuild and validate KMI before staging
slim-qcom-ngd-ctrl.ko	modules	ack_source_candidate	drivers/slimbus/Makefile	drivers/slimbus/Makefile	same module name is not ABI compatibility; rebuild and validate KMI before staging
slimbus.ko	modules	ack_source_candidate	drivers/Makefile;drivers/slimbus/Makefile	drivers/Makefile;drivers/slimbus/Makefile	same module name is not ABI compatibility; rebuild and validate KMI before staging
smcinvoke_mod.ko	modules	reference_source_only	drivers/soc/qcom/Makefile	-	same module name is not ABI compatibility; rebuild and validate KMI before staging
smem.ko	modules	ack_source_candidate	drivers/net/wireless/intel/iwlwifi/Makefile;drivers/soc/qcom/Makefile	drivers/net/wireless/intel/iwlwifi/Makefile;drivers/soc/qcom/Makefile	same module name is not ABI compatibility; rebuild and validate KMI before staging
smp2p.ko	modules	ack_source_candidate	drivers/soc/qcom/Makefile	drivers/soc/qcom/Makefile	same module name is not ABI compatibility; rebuild and validate KMI before staging
smp2p_sleepstate.ko	modules	reference_source_only	drivers/soc/qcom/Makefile	-	same module name is not ABI compatibility; rebuild and validate KMI before staging
snd-usb-audio-qmi.ko	modules	ack_source_candidate	sound/usb/Makefile	sound/usb/qcom/Makefile	same module name is not ABI compatibility; rebuild and validate KMI before staging
snd_event_dlkm.ko	modules	unmapped	-	-	same module name is not ABI compatibility; rebuild and validate KMI before staging
soc_sleep_stats.ko	modules	reference_source_only	drivers/soc/qcom/Makefile	-	same module name is not ABI compatibility; rebuild and validate KMI before staging
socinfo.ko	modules	ack_source_candidate	drivers/soc/qcom/Makefile	drivers/soc/qcom/Makefile	same module name is not ABI compatibility; rebuild and validate KMI before staging
spf_core_dlkm.ko	modules	unmapped	-	-	same module name is not ABI compatibility; rebuild and validate KMI before staging
spi-msm-geni.ko	modules	reference_source_only	drivers/spi/Makefile	-	same module name is not ABI compatibility; rebuild and validate KMI before staging
spmi-glink-debug.ko	modules	reference_source_only	drivers/spmi/Makefile	-	same module name is not ABI compatibility; rebuild and validate KMI before staging
spmi-pmic-arb-debug.ko	modules	reference_source_only	drivers/spmi/Makefile	-	same module name is not ABI compatibility; rebuild and validate KMI before staging
spmi-pmic-arb.ko	modules	ack_source_candidate	drivers/spmi/Makefile	drivers/spmi/Makefile	same module name is not ABI compatibility; rebuild and validate KMI before staging
sps_drv.ko	modules	reference_source_only	drivers/platform/msm/sps/Makefile	-	same module name is not ABI compatibility; rebuild and validate KMI before staging
stm_console.ko	modules	ack_source_candidate	drivers/hwtracing/stm/Makefile	drivers/hwtracing/stm/Makefile	same module name is not ABI compatibility; rebuild and validate KMI before staging
stm_core.ko	modules	ack_source_candidate	drivers/hwtracing/stm/Makefile	drivers/hwtracing/stm/Makefile	same module name is not ABI compatibility; rebuild and validate KMI before staging
