key_vol_up_default	local-closure
kgsl_smmu	local-closure
l3_dcvs_sp	local-closure
llcc_dcvs_fp	local-closure
llcc_freq_table	local-closure
lpass_stm_out_funnel_lpass_lpi	local-closure
mc_virt	local-closure
mdmss0_config0	local-closure
mdmss0_config1	local-closure
mdmss1_config0	local-closure
mdmss1_config1	local-closure
mdmss2_config0	local-closure
mdmss2_config1	local-closure
mdmss3_config0	local-closure
mdmss3_config1	local-closure
mi_ts_active	local-closure
mi_ts_cs_active	local-closure
mi_ts_cs_suspend	local-closure
mi_ts_spi_active	local-closure
mi_ts_spi_suspend	local-closure
modem2_etm0_out_funnel_modem	local-closure
modem_diag_out_funnel_modem_q6	local-closure
modem_etm0_out_funnel_modem_q6_dup	local-closure
modem_lte_dsc	local-closure
modem_nr_dsc	local-closure
modem_nr_scg_dsc	local-closure
modem_smp2p_in	local-closure
modem_smp2p_out	local-closure
mpss_mem	local-closure
msm_gpio_irq	local-closure
msm_gpio_reset	local-closure
msm_gpio_reset_output_high	local-closure
msm_gpu	local-closure
mx_pe	local-closure
mx_pe_config1	local-closure
mx_pe_config2	local-closure
mx_pe_config3	local-closure
nfc_enable_active	local-closure
nfc_enable_suspend	local-closure
nfc_int_active	local-closure
nfc_int_suspend	local-closure
non_secure_display_memory	local-closure
nsp_noc	local-closure
nspss_0_config	local-closure
nspss_1_config	local-closure
nspss_2_config	local-closure
nxp_eusb2_repeater	local-closure
pcie0	local-closure
pcie0_clkreq_default	local-closure
pcie0_clkreq_sleep	local-closure
pcie0_perst_default	local-closure
pcie0_rp	local-closure
pcie0_wake_default	local-closure
pcie1	local-closure
pcie1_clkreq_default	local-closure
pcie1_clkreq_sleep	local-closure
pcie1_msi	local-closure
pcie1_perst_default	local-closure
pcie1_wake_default	local-closure
pcie_noc	local-closure
pdc	local-closure
pm8008i_active	local-closure
pm8008j_active	local-closure
pm8350_gpios	local-closure
pm8350_l5	local-closure
pm8350_l5_ao	local-closure
pm8350_trip0	local-closure
pm8350_tz	local-closure
pm8350b_bcl	local-closure
pm8350b_gpios	local-closure
pm8350b_haptics	local-closure
pm8350b_pbs2	local-closure
pm8350b_rear_tof_therm_default	local-closure
pm8350b_tz	local-closure
pm8350c_bcl	local-closure
pm8350c_flash	local-closure
pm8350c_gpios	local-closure
pm8350c_l10	local-closure
pm8350c_l10_ao	local-closure
pm8350c_pwm_1	local-closure
pm8350c_switch0	local-closure
pm8350c_switch1	local-closure
pm8350c_switch2	local-closure
pm8350c_trip0	local-closure
pm8350c_tz	local-closure
pm8450_l2	local-closure
pm8450_trip0	local-closure
pm8450_tz	local-closure
pmk8350	local-closure
pmk8350_adc_tm	local-closure
pmk8350_sdam_13	local-closure
pmk8350_sdam_14	local-closure
pmk8350_sdam_2	local-closure
pmk8350_sdam_21	local-closure
pmk8350_sdam_22	local-closure
pmk8350_sdam_23	local-closure
pmk8350_sdam_41	local-closure
pmk8350_sdam_46	local-closure
pmk8350_sdam_5	local-closure
pmk8350_vadc	local-closure
pmr735a_tz	local-closure
pmr735b_tz	local-closure
qcom_ddr_dcvs_hw	local-closure
qcom_ddrqos_dcvs_hw	local-closure
qcom_l3_dcvs_hw	local-closure
qcom_llcc_dcvs_hw	local-closure
qcom_memlat	local-closure
qmi_sensor	local-closure
qmp_aop	local-closure
qmp_tme	local-closure
qseecom_mem	local-closure
qseecom_ta_mem	local-closure
qupv3_0	local-closure
qupv3_1	local-closure
qupv3_2	local-closure
qupv3_se0_i2c_active	local-closure
qupv3_se0_i2c_sleep	local-closure
qupv3_se0_spi_active	local-closure
qupv3_se0_spi_sleep	local-closure
qupv3_se10_i2c_active	local-closure
qupv3_se10_i2c_sleep	local-closure
qupv3_se10_spi_active	local-closure
qupv3_se10_spi_sleep	local-closure
qupv3_se11_i2c_active	local-closure
qupv3_se11_i2c_sleep	local-closure
qupv3_se11_spi_active	local-closure
qupv3_se11_spi_sleep	local-closure
qupv3_se12_i2c_active	local-closure
qupv3_se12_i2c_sleep	local-closure
